"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1896","RT @SergioVergaraG: Puerta a puerta estamos trabajando en #Unidad para consolidar el triunfo este #6D #VenezuelaQuiereCambio https://t.co/7…",FALSE,0,NA,2015-11-19 23:54:49,FALSE,NA,"667491247934865408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lilidasa",34,TRUE,FALSE,NA,NA
"1897","Conversatorio con los vecinos del Callejon 24 de Julio 1er Plan de La Silsa. Este #6D vota #AbajoALaIzquierda https://t.co/WIjmdVs6w8",FALSE,0,NA,2015-11-19 23:54:43,FALSE,NA,"667491224329297920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarialbertBs",5,FALSE,FALSE,NA,NA
"1898","RT @SergioVergaraG: Puerta a puerta estamos trabajando en #Unidad para consolidar el triunfo este #6D #VenezuelaQuiereCambio https://t.co/7…",FALSE,0,NA,2015-11-19 23:54:43,FALSE,NA,"667491221464555520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","goldundsilber",34,TRUE,FALSE,NA,NA
"1899","RT @Pr1meroJusticia: ¡Que nadie se confunda! Este #6D los venezolanos votamos Abajo y a la Izquierda, en la tarjeta de la manito.",FALSE,0,NA,2015-11-19 23:54:43,FALSE,NA,"667491221187751937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LAWMALE",22,TRUE,FALSE,NA,NA
"1900","RT @GCavarra: ¿La mayoría para qué? https://t.co/BwrAP5cFil vía @YouTube @RESISTENCIAVLN @RebeldiaCm @VzlaEnLibertad1 @Maracay12F #6D #VENE…",FALSE,0,NA,2015-11-19 23:54:32,FALSE,NA,"667491177185300480",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","rocaLaMolesta",5,TRUE,FALSE,NA,NA
"1901","RT @jhonnathanmarin: Camaradas vamos a echarle corazón, fuerza, voluntad y disciplina para ganar el #6D como sea #ConLosDeChavezMeResteo ht…",FALSE,0,NA,2015-11-19 23:54:31,FALSE,NA,"667491170583494661",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loreinfante",18,TRUE,FALSE,NA,NA
"1902","RT @adrielfcuban: @ZuzanTabet @CruzDomingoMir1 @CColumba @Zikdal @TAURO_60 @IrmaPsuv @CHIRA57 @Mocusa1 hay que sacarle música chavista a la…",FALSE,0,NA,2015-11-19 23:54:28,FALSE,NA,"667491161725116416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CColumba",1,TRUE,FALSE,NA,NA
"1903","'¿Morirá papá en la cárcel?' https://t.co/WMK7fLITsm vía @elmundoes @liliantintori @MariaCorinaYA @alcaldeledezma #6D #mujeres",FALSE,0,NA,2015-11-19 23:54:28,FALSE,NA,"667491159736995841",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lopesaura",0,FALSE,FALSE,NA,NA
"1904","RT @CaprilesPrensa: .@hcapriles: “El #6D los operativos de comida van a desaparecer y la entrega de línea blanca se va a acabar”",FALSE,0,NA,2015-11-19 23:54:28,FALSE,NA,"667491158965252096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smgm05",12,TRUE,FALSE,NA,NA
"1905","RT @CaprilesPrensa: Estos son los candidatos del cambio para #Miranda, #VenezuelaQuiereCambio y el #6D vamos a demostrarlo - https://t.co/0…",FALSE,0,NA,2015-11-19 23:54:23,FALSE,NA,"667491139579179008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",12,TRUE,FALSE,NA,NA
"1906","RT @PJMetropolitano: #PuntoAmarillo  #Chacao  #6D ¡Vota! AbajoYALaIzquierda por #LaManitoEsLaDelCambio En la Esquina  @maximo_sanchez https…",FALSE,0,NA,2015-11-19 23:54:14,FALSE,NA,"667491101096460292",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vicente28667",7,TRUE,FALSE,NA,NA
"1907","RT @obifotografo: Sandra Oblitas dice que harán una averiguación administrativa a #Cavidea y a la #Ucab
#6D #Venezuela",FALSE,0,NA,2015-11-19 23:54:09,FALSE,NA,"667491081433563138",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carluimard",1,TRUE,FALSE,NA,NA
"1908","RT @CaprilesPrensa: .@hcapriles: “Aquí la situación es aún más difícil y el #6D tenemos que hablar si queremos sacar a Venezuela de la cris…",FALSE,0,NA,2015-11-19 23:54:08,FALSE,NA,"667491075993546752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smgm05",12,TRUE,FALSE,NA,NA
"1909","Hoy recorrimos la Av.  17 de diciembre llevando el mensaje de #LaMejorVzla rumbo al #6D https://t.co/8GqdQQoknk",FALSE,0,NA,2015-11-19 23:54:03,FALSE,NA,"667491056188055552",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JuventudesHeres",1,FALSE,FALSE,NA,NA
